name,x,y,z,vx,vy,vz,inclination,eccentricity,RAAN,argument_of_perigee,mean_anomaly,mean_motion,collision_label
SAT-26107,41347.364922696695,-5480.631758846007,-6078.819954044462,0.430325654166877,3.0399871936222334,0.18336345257582515,8.8435,0.0003879,59.4559,271.6886,155.57300000000004,1.00273287,0
SAT-26113,-8229.329577040924,4255.054700211947,43004.550317201196,-1.3504376665152038,1.3213648142682088,1.0867298401550043,94.1135,0.7526275,313.671,302.0463,6.3979,1.68665566,0
SAT-26356,6232.2344173786805,40732.99990677145,8910.445252552441,-3.0371707068862572,0.40989098922854056,0.25250470862782154,13.0772,0.0001784,12.7094,11.7378,167.2176,1.00269012,0
SAT-26388,36687.51452879131,-19129.812103303353,-8001.167548294821,1.4700404064867607,2.682563511950796,0.3267591262580977,12.49,0.0005684,32.3466,297.5014,74.8523,1.00270698,0
SAT-26407,14483.080137621026,-7568.535746934493,21320.82497349,2.544366095381022,2.769106677334985,-0.7255271895673979,54.8795,0.0123223,220.0761,302.48690000000005,246.5265,2.00568763,0
SAT-26410,103981.2979978472,-53569.84580902704,60846.4253705729,-0.014449403286505513,-0.6450296256855311,0.32590254927113627,148.3592,0.8835954,29.7174,245.6118,359.2301,0.44786329,0
SAT-26464,59670.260918808584,-71476.01770787624,55262.352977416165,-1.2128568940644402,0.3106476504445659,-0.5486919845994687,148.5838,0.8833034,29.999100000000002,245.7591,359.3805,0.44425532,0
SAT-26554,18989.098345330774,37640.64646677924,-503.93372083082903,-2.7428910544636094,1.3861180853564363,0.09950702366758207,1.8084,0.0003091,82.92770000000002,258.1858,187.1573,1.00272834,0
SAT-26575,39079.54939628989,15651.894832311209,-2205.919907496456,-1.0932057121057353,2.812947336036116,0.5915788283264487,11.4128,0.0002074,36.419,334.2429,35.7602,1.0027538,0
SAT-26580,-15898.708377056735,39062.90814944167,38.628969601678996,-2.8473132183104313,-1.158416931412912,0.005191192712186399,0.0654,0.0002912,286.0438,34.1493,260.5227,1.0027415,0
SAT-26605,-10816.524172151496,22252.399482503777,10293.098262679596,-1.6186915271932487,-2.0287229928249486,2.829454598705343,55.5518,0.0172422,99.8101,265.2333,101.4941,2.00571416,0
SAT-26702,-1256.122459039012,-2855.659905843131,-6022.019337036582,0.6182286792958399,6.845184384264596,-3.376870557944299,97.4126,0.0001971,80.7301,211.9908,148.1227,15.564154400000001,0
SAT-26715,-4558.27814231379,41168.31852430619,8121.054146069307,-3.044473060203486,-0.3781978225641978,0.14873479415290566,11.4063,0.003895,20.5063,183.1878,0.8556,1.00272088,0
SAT-26720,8635.232212441066,-41083.65737639529,-6262.974583221541,2.9712753194651835,0.6754431092375043,-0.3355161223531347,10.4728,0.0006843,48.6049,229.31119999999999,128.0026,0.9917720500000001,0
SAT-26766,-12667.7067438054,40317.266186229936,4824.772057039464,-2.8921079367742126,-0.9463037798626647,0.323543289051794,8.757,0.0008434,60.6079,252.6678,104.5252,0.99072725,0
SAT-26857,5954.091868224167,14459.886093431918,6647.583763196714,-2.9942523991294077,2.5440469765681404,-2.829197179388399,44.8842,0.001812,273.6654,24.2093,335.9314,3.9240248199999996,0
SAT-26880,-40102.19812383685,-12999.794192062756,-54.73281868287732,0.925765789979821,-2.853408816826918,-0.6766486314388568,12.6716,0.0001353,17.2884,179.7452,12.6707,1.00279101,0
SAT-26900,-40146.52357408568,-12398.51888650554,3656.267688799296,0.891905682725535,-2.93631952281674,-0.1763159781171427,5.8076,0.000463,73.2894,253.1466,319.5481,1.00271063,0
SAT-26931,-4900.1096787517035,-3462.683332472017,3914.215474683031,4.954967914618125,-0.7583974619528407,5.524018305438632,67.0496,0.0007012,201.2004,266.0373,93.9927,14.31898714,0
SAT-26958,-4426.6199598409485,-4862.896243799646,-2068.915305991025,0.6788297605922422,2.4120251143752354,-7.199496796993432,97.96190000000001,0.0055711,50.147,174.642,185.5415,15.068927779999997,0
SAT-26998,-320.30017293385527,3836.1579379132345,-5805.358728518892,-4.169121708227562,5.150785657482195,3.6350256201967417,74.0678,0.0002429,121.73960000000001,301.53740000000005,58.55729999999999,14.949502789999999,0
SAT-27004,-3078.8163996182197,-1152.6015354207236,6582.002632771633,4.746026611113888,4.74487229879578,3.03652798638797,99.7974,0.0020614,220.0478,97.0432,286.9217,13.70256762,0
SAT-27056,2921.736338586145,-6521.776901465221,-3147.763592401138,2.1030432975160407,-2.173620093721981,6.469155167417883,82.5388,0.0006415,298.0652,142.0893,294.8429,12.60562368,0
SAT-27057,3043.362038674297,-6986.590160170114,1638.7269087416514,0.28761863356913075,1.7592721481911477,6.927327899450521,82.5438,0.0001022,292.6301,56.5426,303.5762,12.61613535,0
SAT-27168,-3880.974482185562,-41582.385484659295,-7197.593140736973,3.039756196698124,-0.21035819235241368,-0.27130864517167985,11.0323,0.0099163,22.6321,4.453,358.62710000000004,1.00273998,0
SAT-27380,-34130.74765317285,-24624.70869068496,2871.3372390422364,1.773938023513138,-2.4921211227801447,-0.2955939518116962,6.6116,0.0005316,70.668,300.675,243.0484,1.00270572,0
SAT-27424,4780.8993427922405,1837.3598509137908,-4876.20621304481,5.2720873290779355,0.39656226016250434,5.323396801369162,98.4131,0.0001312,12.581400000000002,49.3,60.2452,14.61918471,0
SAT-27426,-30773.80180994107,28684.796752601025,3007.8784236374127,-2.087755816305828,-2.2523997719540674,0.1268222624534652,4.5632,0.0003584,76.8606,267.4515,263.1456,1.00272987,0
SAT-27438,-14279.00812483924,39565.65442519504,3016.850217338661,-2.873301670106321,-1.0573899799902204,0.2765699771437817,6.441,0.0002968,71.3049,265.5318,86.6977,1.00274255,0
SAT-27445,-37267.932702095175,19551.972154146366,2511.3286199396275,-1.4253709799117478,-2.7240696111648237,0.058468898572178754,3.4192,9.85e-05,79.718,39.9556,144.144,1.00272084,0
SAT-27464,-2320.2477156991304,-2255.7720741525554,7147.120709234643,-2.871699156173694,-5.896721376600886,-2.803685618130426,82.4798,0.0025673,61.4483,163.5586,196.6333,12.44620189,0
SAT-27465,-77.20496989698705,-1961.7665233509665,-7626.348369496616,3.899941382893929,5.737007116337949,-1.5349234582988556,82.4797,0.0026673,58.0497,157.9986,202.2246,12.44942253,0
SAT-27513,27664.83769400244,-31609.174079295335,-3465.669358780248,2.3022127591522845,2.032971988854117,-0.16662621338377787,5.4914,0.0003871,74.4422,230.1354,129.5719,1.00271947,0
SAT-27606,1334.798009420185,-5611.741556886451,4017.9600934152263,3.016578268302122,4.431093348015411,5.279167877653022,64.5531,0.0084314,268.1837,294.061,65.1688,14.768133109999999,0
SAT-27607,-2721.59157467386,4484.787125735493,-4571.848210999758,-5.82493008684699,1.2862996712339507,4.691756436185065,64.5522,0.0074605,148.1209,284.84440000000006,74.4407,14.82688947,0
SAT-27612,3496.882587948879,-3701.9452071444607,-4756.733109995794,6.1264697884789445,0.011610165580339745,4.453352666673022,64.5562,0.0056913,343.2153,266.4061,93.0536,14.8520148,0
SAT-27632,-30893.182851717753,27938.47543085017,6700.315070174339,-2.0498673809741064,-2.287561505328424,0.08997136217331901,9.161,0.0006258,58.17349999999999,274.05,276.1898,1.00274068,0
SAT-27640,2787.608809710203,5086.671702361768,-4291.565000099708,3.3296349655090967,3.1242520528195126,5.856923469933897,98.7157,0.0013572,54.3307,202.0351,158.0243,14.19903135,0
SAT-27651,-1420.9845294635206,5723.617440397093,-3633.6966902848635,-6.226892364189595,-3.324015674407351,-2.793729709932529,39.989,0.0018199,240.82830000000004,252.59130000000002,107.2891,15.028983630000003,0
SAT-27663,2256.3570282141004,19100.692795665185,-18889.03121692327,-3.24781059282954,-1.2068200959139992,-1.5998552156462607,54.911300000000004,0.0148775,219.8428,52.5739,307.3447,2.00567314,0
SAT-27691,-23991.601269850085,33805.64054968421,7815.966173779851,-2.495308624884318,-1.7915330063160568,0.0932286237357692,10.7139,0.0005649,44.5066,287.0598,57.1559,1.00272154,0
SAT-27704,3991.2129376011876,15514.150497998551,21844.589747956274,-3.4440798652552815,1.609174814505442,-0.5114740115676094,54.8854,0.000498,329.8018,332.4444,209.8147,1.94743088,0
SAT-27711,32329.768335551395,26386.368166292017,1271.3956168055468,-1.9325677475616685,2.341470986322008,0.6512824539411497,12.1619,0.0099213,30.8224,2.9427,5.9628,1.00271162,0
SAT-27718,34550.35232963376,24054.663266808613,-2275.9596031240176,-1.7454201967637146,2.525262666010256,0.1790074139457068,4.3908,0.0002739,77.3063,248.7104,137.2357,1.00270811,0
SAT-27811,-22859.069238660642,-35390.68371621113,1147.850378480008,2.5601288873402903,-1.6630428176164314,-0.37639196018385895,7.0475,0.0008727,69.35890000000002,230.3963,311.9341,1.00272455,0
SAT-27825,14939.79529049966,-38917.246724860524,-6258.442964472569,2.86433102655325,1.1157723505621187,-0.09628002053179396,8.6487,0.0003486,32.4542,297.7448,82.3688,1.00272533,0
SAT-27831,30711.29403760041,28785.325069016188,-2334.068581802064,-2.0775718362702076,2.2448988360052584,0.317893951931481,6.581,0.0006027,70.90610000000001,258.2615,123.73830000000001,1.0027371,0
SAT-27843,4158.629243439949,5853.124794632621,597.5613017011314,0.5785506346607902,-1.1620240510397397,7.323962474334968,98.708,0.0008851,55.0001,243.69449999999998,116.3323,14.21292745,0
SAT-27844,1803.910119654555,4214.3438810256885,-5553.332757210413,3.831517574926809,4.413527969247478,4.589759618625687,98.6775,0.0009634,55.678,175.1537,184.9737,14.24246177,0
SAT-27848,2426.4005819310923,4873.868932698901,-4714.582887804718,3.471180898891231,3.597289493648979,5.50107258303621,98.6805,0.0009176,55.41780000000001,193.52970000000002,166.5636,14.23544426,0
SAT-27858,-3611.7005278875986,-2161.217795463165,5586.20516405463,-2.833974710380878,-5.716489682564309,-4.038205909453747,73.9287,0.0006505,55.1765,158.7986,201.3461,14.812640279999998,0
SAT-27868,-3776.024788935685,-2712.7599817916066,6353.680962220303,-3.642982639370115,-4.5336328524903555,-4.086798923425334,82.468,0.0020888,46.5535,326.0391,33.9352,12.45187638,0
SAT-27869,-5611.626232252912,-4574.323739803148,3103.954436707418,-1.5198430557154765,-2.5295466260058252,-6.46625826903996,82.4677,0.0021587,42.9887,321.2968,38.6565,12.45500497,0
SAT-27875,601.3070566613261,-41852.60712568278,-5059.114333286453,3.0458142801109145,0.09372995830792877,-0.41139326399517245,10.2366,0.0001276,49.1075,274.2276,290.2281,1.0027171,0
SAT-27939,-1484.7433547048338,-2906.5273705089025,-6225.2336018125,-4.952286731772136,-4.58903615707745,3.325130228319597,98.3408,0.0010372,226.77010000000004,300.2084,171.5147,14.73187281,0
SAT-27944,5021.0016069305275,1653.1131807494128,-4701.618061054273,-4.183697410834299,-2.90863669827456,-5.499068516153057,98.3971,0.0013353,205.3621,61.618,298.6366,14.638421800000001,0
SAT-27954,-5264.252822136107,41841.02347265946,177.0498488544143,-3.049469700810646,-0.3834822793824876,0.06699428498403265,1.1013,0.0002212,85.597,236.38449999999997,242.7072,1.0027014,0
SAT-28051,-441.7430801063851,5766.919698259062,-4142.58297247167,1.010216007874717,4.36955070569215,6.015787781223579,98.2097,0.0064028,88.3044,350.3777,133.0904,14.3610212,0
SAT-28054,2305.899631805171,3298.2018970166673,5988.38646505782,-1.6579085359105383,-6.065509877038385,3.9639932103438915,99.0012,0.0008005,68.6091,129.9479,338.7443,14.14452892,0
SAT-28058,-3406.6307188145684,3724.840708370177,4992.517899576554,-2.345896806957326,4.846959197736279,-5.214922083855405,98.5214,0.0012137,303.7358,189.6927,170.40340000000003,14.485124199999998,0
SAT-28089,26622.05019466606,32663.963646598982,-1703.3206316845162,-2.361978843589674,1.9433225467213113,0.3073017641208024,6.0343,0.0006096,72.4419,228.7106,290.9151,1.00272186,0
SAT-28117,33196.36023113395,-25217.56183339829,-6214.732301124751,1.875781943799779,2.4333868438937025,0.14381783472401857,8.814100000000002,0.0003906,34.4157,274.29530000000005,271.2983,1.00272393,0
SAT-28129,-22561.578786954036,352.5113933295057,15339.371705048676,-1.5897291264518827,-2.6257695841674664,-2.277021983918025,54.9547,0.0003188,27.8644,306.3847,53.5976,1.926786,0
SAT-28158,-36409.533767001696,19984.807936793473,7299.023486766797,-1.5229202975675495,-2.6474736207646643,-0.35014976332801306,11.8942,0.0002394,26.9606,266.3935,277.1883000000001,1.00274928,0
SAT-28184,25839.478523596637,-33105.96453729484,-3513.921671374054,2.410838123448412,1.9019272230244435,-0.18393487656184193,5.7315,0.0005407,73.5103,256.0905,101.1494,1.00273303,0
SAT-28187,-41647.78176883615,3594.2487550102755,4073.402104478488,-0.27048404318688435,-3.0684164525093642,-0.05940598848125203,5.5166,0.0001154,73.4959,126.01230000000001,87.0891,1.00840125,0
SAT-28190,12545.815169452006,-20137.951430460187,12375.926633338817,1.3936919058980612,2.4923349415494545,2.5748563441685026,54.9313,0.0110107,280.7146,168.6137,202.4265,2.00558798,0
SAT-28220,2654.346588219392,-5994.497684445945,-2017.6407238174352,-1.9098956013636423,1.5684686637535856,-7.210390578488341,97.8828,0.0007118,115.5469,95.2113,264.9938,15.30281075,0
SAT-28252,-30397.93754288077,29237.752071918832,97.02494775893898,-2.1310928057921297,-2.21511166421473,0.007290236877838605,0.0175,0.0003134,92.7067,248.034,265.6449,1.00269724,0
SAT-28358,-17027.831447482793,-38573.904751428796,61.751940992123444,2.8128531172712083,-1.241444002623332,-0.008836755071787819,0.0132,8.25e-05,102.26200000000001,255.48220000000003,6.5453,1.00272922,1
SAT-28361,9196.623484569149,-21550.90886159265,-12386.49928674712,1.7584225336627317,2.307526156068875,-2.57963820611624,54.7735,0.0159312,91.8289,297.6593,75.5192,2.00576061,0
SAT-28366,4076.5027681870506,2333.3986475817596,-5303.946201650066,-4.018689538317235,-4.120933334075967,-4.853668382052093,98.0873,0.0104429,218.4766,260.459,98.47850000000001,14.379703179999998,0
SAT-28369,-989.8684072720854,-2913.583384889283,6369.921037601764,-4.515033613312781,-5.174195390681475,-3.035347335240149,98.5802,0.0032986,52.3857,40.8211,319.5447,14.55359861,0
